x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-10.0300E-03,+1.5062761E+00,-27.6655E-03,+418.4102E-03,-9.6047E-03
-10.0200E-03,+1.4952731E+00,+0.0E+00,-30.9860E-03,-11.1514E-03
-10.0100E-03,+1.5350170E+00,-62.2137E-03,-825.8644E-03,-9.2777E-03
-10.0000E-03,+1.5188183E+00,+0.0E+00,-125.6235E-03,-8.7860E-03
-9.9900E-03,+1.5397489E+00,+7.3129E-03,+418.4102E-03,-11.1501E-03
-9.9800E-03,+1.5533666E+00,-27.2353E-03,-721.9503E-03,-9.3724E-03
-9.9700E-03,+1.5371679E+00,-2.5810E-03,-251.0458E-03,-8.2916E-03
-9.9600E-03,+1.5136226E+00,+0.0E+00,-397.9764E-03,-10.4174E-03
-9.9500E-03,+1.5077817E+00,+66.9456E-03,-220.9332E-03,-11.3506E-03
-9.9400E-03,+1.5308968E+00,-49.2413E-03,-428.0891E-03,-11.4195E-03
-9.9300E-03,+1.4730184E+00,+66.9456E-03,-251.0458E-03,-10.7199E-03
-9.9200E-03,+1.5146981E+00,+0.0E+00,-251.0458E-03,-8.3704E-03
-9.9100E-03,+1.5069213E+00,-34.1180E-03,+90.1342E-03,-9.4498E-03
-9.9000E-03,+1.5062761E+00,+0.0E+00,-406.5808E-03,-11.8338E-03
-9.8900E-03,+1.5388886E+00,+0.0E+00,-268.2519E-03,-13.3891E-03
-9.8800E-03,+1.5302516E+00,-18.9947E-03,+228.4631E-03,-11.0912E-03
-9.8700E-03,+1.5244105E+00,+30.6768E-03,-251.0458E-03,-7.9216E-03
-9.8600E-03,+1.4995748E+00,+0.0E+00,+284.3835E-03,-10.1752E-03
-9.8500E-03,+1.5358775E+00,+0.0E+00,-251.0458E-03,-8.1109E-03
-9.8400E-03,+1.5397489E+00,+0.0E+00,-39.5904E-03,-10.2182E-03
-9.8300E-03,+1.5062761E+00,+0.0E+00,-635.2424E-03,-9.7681E-03
-9.8200E-03,+1.5397489E+00,+0.0E+00,+305.8918E-03,-3.5780E-03
-9.8100E-03,+1.5032650E+00,+0.0E+00,-860.2792E-03,-10.4704E-03
